
=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 03 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5953 | acc=0.634 ✓
  Client 04 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6070 | acc=0.651 ✓
  Client 05 | round= 15 | stage=REPLAY     | score=0.454 | loss=0.5943 | acc=0.674 ✓
  Client 06 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6766 | acc=0.548 ✓
  Client 07 | round= 15 | stage=STABLE     | score=0.283 | loss=0.6077 | acc=0.643 ✓
  Client 08 | round= 15 | stage=STABLE     | score=0.000 | loss=0.6027 | acc=0.641 ✓
  Client 09 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5605 | acc=0.750 ✓
[Server] Round 15: active=10/10 | τ=0.800 | avg_score=0.074 | avg_acc=0.685
  Client 00 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5576 | acc=0.828 ✓
  Client 01 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5065 | acc=0.812 ✓
  Client 02 | round= 16 | stage=REPLAY     | score=0.432 | loss=0.6313 | acc=0.585 ✓
  Client 03 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6533 | acc=0.610 ✓
  Client 04 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5407 | acc=0.698 ✓
  Client 05 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5926 | acc=0.674 ✓
  Client 06 | round= 16 | stage=STABLE     | score=0.000 | loss=0.7049 | acc=0.500 ✓
  Client 07 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6035 | acc=0.667 ✓
  Client 08 | round= 16 | stage=STABLE     | score=0.000 | loss=0.6372 | acc=0.578 ✓
  Client 09 | round= 16 | stage=STABLE     | score=0.000 | loss=0.5616 | acc=0.734 ✓
[Server] Round 16: active=10/10 | τ=0.800 | avg_score=0.043 | avg_acc=0.669
  Client 00 | round= 17 | stage=STABLE     | score=0.071 | loss=0.5360 | acc=0.797 ✓
  Client 01 | round= 17 | stage=STABLE     | score=0.193 | loss=0.4744 | acc=0.828 ✓
  Client 02 | round= 17 | stage=REPLAY     | score=0.435 | loss=0.6418 | acc=0.659 ✓
  Client 03 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6323 | acc=0.634 ✓
  Client 04 | round= 17 | stage=STABLE     | score=0.082 | loss=0.6037 | acc=0.674 ✓
  Client 05 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6033 | acc=0.674 ✓
